Pieza	Peso	Largo	Calibre	Calidad
1632	4.04	0.6604	4.0-4.5	Premium
1633	4.265	0.6096	4.0-4.5	Premium
1634	4.15		4.0-4.5	Premium
1635	4.35		4.0-4.5	Premium
1636	4.4		4.0-4.5	Premium
1637	4.02	0.6096	4.0-4.5	Premium
1638	4.485	0.6858	4.0-4.5	Premium
1639	4.5	0.6858	4.0-4.5	Premium
1640	4.25		4.0-4.5	Premium
1641	4.45	0.6096	4.0-4.5	Premium
1642	4.3		4.0-4.5	Premium
1643	4.495	0.635	4.0-4.5	Premium
1644	4.445	0.635	4.0-4.5	Premium
1645	4.335	0.6604	4.0-4.5	Premium
1646	4.2		4.0-4.5	Premium
1647	4.2	0.635	4.0-4.5	Premium
1648	4.35		4.0-4.5	Premium
1649	4.305	0.5842	4.0-4.5	Premium
1650	4.1		4.0-4.5	Premium
1651	4.05		4.0-4.5	Premium
1652	4.215	0.6858	4.0-4.5	Premium
1653	4.5	0.6604	4.0-4.5	Premium
1654	4.115	0.6604	4.0-4.5	Premium
1655	4.235	0.635	4.0-4.5	Premium
1656	4.25		4.0-4.5	Premium
1657	4.41	0.6858	4.0-4.5	Premium
1658	4.465	0.6604	4.0-4.5	Premium
1659	4.43	0.635	4.0-4.5	Premium
1660	4.2		4.0-4.5	Premium
1661	4.43	0.7112	4.0-4.5	Premium
1662	4.31	0.6604	4.0-4.5	Premium
1663	4.05	0.635	4.0-4.5	Premium
1664	4.22	0.6604	4.0-4.5	Premium
1665	4.5		4.0-4.5	Premium
1666	4.4		4.0-4.5	Premium
1667	4.215	0.635	4.0-4.5	Premium
1668	4.39	0.635	4.0-4.5	Premium
1669	4.11	0.6858	4.0-4.5	Premium
1670	4.01	0.6096	4.0-4.5	Premium
1671	4.465	0.6858	4.0-4.5	Premium
1672	4.4		4.0-4.5	Premium
1673	4.34	0.635	4.0-4.5	Premium
1674	4.05		4.0-4.5	Premium
1675	4.2	0.6096	4.0-4.5	Premium
1676	4.47	0.6858	4.0-4.5	Premium
1677	4.31	0.6604	4.0-4.5	Premium
1678	4.32	0.6604	4.0-4.5	Premium
1679	4.385	0.635	4.0-4.5	Premium
1680	4.35		4.0-4.5	Premium
1681	4.12	0.6096	4.0-4.5	Premium
1682	4.22	0.635	4.0-4.5	Premium
1683	4.445	0.635	4.0-4.5	Premium
1684	4.205	0.635	4.0-4.5	Premium
1685	4.265	0.6096	4.0-4.5	Premium
1686	4.42	0.5842	4.0-4.5	Premium
1687	4.19	0.635	4.0-4.5	Premium
1688	4.17	0.6604	4.0-4.5	Premium
1689	4.27	0.6604	4.0-4.5	Premium
1690	4.39	0.635	4.0-4.5	Premium
1691	4.35		4.0-4.5	Premium
1692	4.495	0.6604	4.0-4.5	Premium
1693	4.46	0.6604	4.0-4.5	Premium
1694	4.48	0.6604	4.0-4.5	Premium
1695	4.1		4.0-4.5	Premium
1696	4		4.0-4.5	Premium
1697	4.265	0.635	4.0-4.5	Premium
1698	4.185	0.635	4.0-4.5	Premium
1699	4.15		4.0-4.5	Premium
1700	4.37	0.6604	4.0-4.5	Premium
1701	4.355	0.6604	4.0-4.5	Premium
1702	4.3		4.0-4.5	Premium
1703	4.25		4.0-4.5	Premium
1704	4		4.0-4.5	Premium
1705	4.35		4.0-4.5	Premium
1706	4.16	0.6096	4.0-4.5	Premium
1707	4.2		4.0-4.5	Premium
1708	4.25		4.0-4.5	Premium
1709	4.3		4.0-4.5	Premium
1710	4.13	0.635	4.0-4.5	Premium
1711	4.075	0.635	4.0-4.5	Premium
1712	4.35		4.0-4.5	Premium
1713	4.2		4.0-4.5	Premium
1714	4.435	0.6858	4.0-4.5	Premium
1715	4.1		4.0-4.5	Premium
1716	4.455	0.635	4.0-4.5	Premium
1717	4.35		4.0-4.5	Premium
1718	4.25		4.0-4.5	Premium
1719	4.25		4.0-4.5	Premium
1720	4.445	0.635	4.0-4.5	Premium
1721	4.3		4.0-4.5	Premium
1722	4.39	0.635	4.0-4.5	Premium
1723	4.07	0.6858	4.0-4.5	Premium
1724	4.5		4.0-4.5	Premium
1725	4.305	0.635	4.0-4.5	Premium
1726	4.4		4.0-4.5	Premium
1727	4.13	0.6604	4.0-4.5	Premium
1728	4.09	0.635	4.0-4.5	Premium
1729	4.1		4.0-4.5	Premium
1730	4.3		4.0-4.5	Premium
1731	4.38	0.6858	4.0-4.5	Premium
1732	4.315	0.635	4.0-4.5	Premium
1733	4.1		4.0-4.5	Premium
1734	4.49	0.635	4.0-4.5	Premium
1735	4.1	0.635	4.0-4.5	Premium
1736	4.4		4.0-4.5	Premium
1737	4.09	0.6604	4.0-4.5	Premium
1738	4.25		4.0-4.5	Premium
1739	4.455	0.6604	4.0-4.5	Premium
1740	4.44	0.6858	4.0-4.5	Premium
1741	4.1	0.6604	4.0-4.5	Premium
1742	4.3		4.0-4.5	Premium
1743	4.05		4.0-4.5	Premium
1744	4.15		4.0-4.5	Premium
1745	4.25		4.0-4.5	Premium
1746	4.21	0.635	4.0-4.5	Premium
1747	4.1	0.4572	4.0-4.5	Premium
1748	4.23	0.635	4.0-4.5	Premium
1749	4.4		4.0-4.5	Premium
1750	4.15		4.0-4.5	Premium
1751	4.2		4.0-4.5	Premium
1752	4.25		4.0-4.5	Premium
1753	4.15		4.0-4.5	Premium
1754	4.43	0.5842	4.0-4.5	Premium
1755	4.35	0.6858	4.0-4.5	Premium
1756	4.44	0.6858	4.0-4.5	Premium
1757	4.45	0.6858	4.0-4.5	Premium
1758	4.1		4.0-4.5	Premium
1759	4.31	0.6096	4.0-4.5	Premium
1760	4.42	0.6096	4.0-4.5	Premium
1761	4.315	0.635	4.0-4.5	Premium
1762	4.345	0.6858	4.0-4.5	Premium
1763	4.25	0.6858	4.0-4.5	Premium
1764	4.475	0.5842	4.0-4.5	Premium
1765	4.29	0.635	4.0-4.5	Premium
1766	4.495	0.6604	4.0-4.5	Premium
1767	4.12	0.6096	4.0-4.5	Premium
1768	4.37	0.6604	4.0-4.5	Premium
1769	4.05		4.0-4.5	Premium
1770	4.15		4.0-4.5	Premium
1771	4.32	0.6604	4.0-4.5	Premium
1772	4.265	0.6096	4.0-4.5	Premium
1773	4.3		4.0-4.5	Premium
1774	4.35		4.0-4.5	Premium
1775	4.3	0.635	4.0-4.5	Premium
1776	4.375	0.6604	4.0-4.5	Premium
1777	4.145	0.6858	4.0-4.5	Premium
1778	4.1	0.6604	4.0-4.5	Premium
1779	4.35	0.635	4.0-4.5	Premium
1780	4.085	0.635	4.0-4.5	Premium
1781	4.42	0.6604	4.0-4.5	Premium
1782	4.255	0.6604	4.0-4.5	Premium
1783	4.2	0.635	4.0-4.5	Premium
1784	4.35	0.6858	4.0-4.5	Premium
1785	4.09	0.635	4.0-4.5	Premium
1786	4.145	0.6096	4.0-4.5	Premium
1787	4.095	0.6858	4.0-4.5	Premium
1788	4.395	0.6604	4.0-4.5	Premium
1789	4.465	0.635	4.0-4.5	Premium
1790	4.035	0.6604	4.0-4.5	Premium
1791	4.13	0.6858	4.0-4.5	Premium
1792	4.24	0.635	4.0-4.5	Premium
1793	4.315	0.635	4.0-4.5	Premium
1794	4.32	0.635	4.0-4.5	Premium
1795	4.265	0.7112	4.0-4.5	Premium
1796	4.195	0.635	4.0-4.5	Premium
1797	4.345	0.6858	4.0-4.5	Premium
1798	4.43	0.6096	4.0-4.5	Premium
1799	4.455	0.635	4.0-4.5	Premium
1800	4.085	0.635	4.0-4.5	Premium
1801	4.05		4.0-4.5	Premium
1802	4.42	0.6858	4.0-4.5	Premium
1803	4.35		4.0-4.5	Premium
1804	4.25		4.0-4.5	Premium
1805	4.15		4.0-4.5	Premium
1806	4.43	0.5842	4.0-4.5	Premium
1807	4.05		4.0-4.5	Premium
1808	4.5	0.6604	4.0-4.5	Premium
1809	4.165	0.6604	4.0-4.5	Premium
1810	4.32	0.635	4.0-4.5	Premium
1811	4.09	0.635	4.0-4.5	Premium
1812	4.17	0.635	4.0-4.5	Premium
1813	4.05		4.0-4.5	Premium
1814	4.05		4.0-4.5	Premium
1815	4.28	0.6604	4.0-4.5	Premium
1816	4.225	0.6096	4.0-4.5	Premium
1817	4.295	0.6604	4.0-4.5	Premium
1818	4.455	0.6096	4.0-4.5	Premium
1819	4		4.0-4.5	Premium
1820	4.385	0.6858	4.0-4.5	Premium
1821	4.3		4.0-4.5	Premium
1822	4.2		4.0-4.5	Premium
1823	4.46	0.635	4.0-4.5	Premium
1824	4.305	0.6858	4.0-4.5	Premium
1825	4.2		4.0-4.5	Premium
1826	4.33	0.6096	4.0-4.5	Premium
1827	4.4		4.0-4.5	Premium
1828	4.46	0.635	4.0-4.5	Premium
1829	4.1		4.0-4.5	Premium
1830	4.25		4.0-4.5	Premium
1831	4.05		4.0-4.5	Premium
1832	4.185	0.635	4.0-4.5	Premium
1833	4.415	0.635	4.0-4.5	Premium
1834	4.35		4.0-4.5	Premium
1835	4.5		4.0-4.5	Premium
1836	4.195	0.635	4.0-4.5	Premium
1837	4.2		4.0-4.5	Premium
1838	4.1		4.0-4.5	Premium
1839	4.3		4.0-4.5	Premium
1840	4.35		4.0-4.5	Premium
1841	4.15		4.0-4.5	Premium
1842	4.315	0.6858	4.0-4.5	Premium
1843	4.36	0.5842	4.0-4.5	Premium
1844	4.4	0.635	4.0-4.5	Premium
1845	4.185	0.635	4.0-4.5	Premium
1846	4.075	0.635	4.0-4.5	Premium
1847	4.3		4.0-4.5	Premium
1848	4.25		4.0-4.5	Premium
1849	4.45		4.0-4.5	Premium
1850	4.21	0.6096	4.0-4.5	Premium
1851	4.025	0.6604	4.0-4.5	Premium
1852	4.35		4.0-4.5	Premium
1853	4.35		4.0-4.5	Premium
1854	4.2		4.0-4.5	Premium
1855	4.1		4.0-4.5	Premium
1856	4.215	0.6604	4.0-4.5	Premium
1857	4.25		4.0-4.5	Premium
1858	4.465	0.6604	4.0-4.5	Premium
1859	4.46	0.635	4.0-4.5	Premium
1860	4.47	0.635	4.0-4.5	Premium
1861	4.175	0.635	4.0-4.5	Premium
1862	4.4	0.6604	4.0-4.5	Premium
1863	4.41	0.635	4.0-4.5	Premium
1864	4.18	0.6096	4.0-4.5	Premium
1865	4.455	0.6858	4.0-4.5	Premium
1866	4.23	0.6604	4.0-4.5	Premium
1867	4.295	0.6858	4.0-4.5	Premium
1868	4.345	0.6604	4.0-4.5	Premium
1869	4.495	0.635	4.0-4.5	Premium
1870	4.38	0.6604	4.0-4.5	Premium
1871	4.1	0.6604	4.0-4.5	Premium
1872	4.24	0.6096	4.0-4.5	Premium
1873	4.34	0.6604	4.0-4.5	Premium
1874	4.035	0.635	4.0-4.5	Premium
1875	4.465	0.6604	4.0-4.5	Premium
1876	4.4		4.0-4.5	Premium
1877	4.43	0.6604	4.0-4.5	Premium
1878	4.315	0.635	4.0-4.5	Premium
1879	4.35		4.0-4.5	Premium
1880	4.3	0.6604	4.0-4.5	Premium
1881	4.065	0.6096	4.0-4.5	Premium
1882	4.495	0.635	4.0-4.5	Premium
1883	4.05		4.0-4.5	Premium
1884	4.4	0.6096	4.0-4.5	Premium
1885	4.41	0.6604	4.0-4.5	Premium
1886	4.24	0.6096	4.0-4.5	Premium
1887	4.155	0.6604	4.0-4.5	Premium
1888	4.45	0.635	4.0-4.5	Premium
1889	4.35	0.635	4.0-4.5	Premium
1890	4.325	0.635	4.0-4.5	Premium
1891	4.355	0.6604	4.0-4.5	Premium
1892	4.355	0.635	4.0-4.5	Premium
1893	4.32	0.635	4.0-4.5	Premium
1894	4.11	0.635	4.0-4.5	Premium
1895	4.12	0.6096	4.0-4.5	Premium
1896	4.345	0.6604	4.0-4.5	Premium
1897	4.105	0.635	4.0-4.5	Premium
1898	4.145	0.7112	4.0-4.5	Premium
1899	4.465	0.6858	4.0-4.5	Premium
1900	4.335	0.6604	4.0-4.5	Premium
1901	4.115	0.6604	4.0-4.5	Premium
1902	4.03	0.635	4.0-4.5	Premium
1903	4.495	0.635	4.0-4.5	Premium
1904	4.21	0.6858	4.0-4.5	Premium
1905	4.185	0.6604	4.0-4.5	Premium
1906	4.09	0.635	4.0-4.5	Premium
1907	4.47	0.7112	4.0-4.5	Premium
1908	4.46	0.635	4.0-4.5	Premium
1909	4.145	0.635	4.0-4.5	Premium
1910	4.47	0.6096	4.0-4.5	Premium
1911	4.35		4.0-4.5	Premium
1912	4.3		4.0-4.5	Premium
1913	4.29	0.6604	4.0-4.5	Premium
1914	4.4	0.6604	4.0-4.5	Premium
1915	4.05		4.0-4.5	Premium
1916	4.09	0.6858	4.0-4.5	Premium
1917	4.15		4.0-4.5	Premium
1918	4.26	0.5842	4.0-4.5	Premium
1919	4.2		4.0-4.5	Premium
1920	4.37	0.635	4.0-4.5	Premium
1921	4.17	0.6096	4.0-4.5	Premium
1922	4.22	0.6604	4.0-4.5	Premium
1923	4.265	0.6604	4.0-4.5	Premium
1924	4.31	0.6604	4.0-4.5	Premium
1925	4.2	0.6096	4.0-4.5	Premium
1926	4.425	0.6858	4.0-4.5	Premium
1927	4.19	0.6604	4.0-4.5	Premium
1928	4.185	0.635	4.0-4.5	Premium
1929	4.165	0.6604	4.0-4.5	Premium
1930	4.275	0.635	4.0-4.5	Premium
1931	4.295	0.635	4.0-4.5	Premium
1932	4.47	0.6604	4.0-4.5	Premium
1933	4.32	0.6604	4.0-4.5	Premium
1934	4.3	0.6604	4.0-4.5	Premium
1935	4.085	0.635	4.0-4.5	Premium
1936	4.26	0.635	4.0-4.5	Premium
1937	4.385	0.6858	4.0-4.5	Premium
1938	4.45	0.6604	4.0-4.5	Premium
1939	4.45	0.6096	4.0-4.5	Premium
1940	4.225	0.6604	4.0-4.5	Premium
1941	4.325	0.635	4.0-4.5	Premium
1942	4.055	0.6604	4.0-4.5	Premium
1943	4.33	0.635	4.0-4.5	Premium
1944	4.295	0.6858	4.0-4.5	Premium
1945	4.225	0.6604	4.0-4.5	Premium
1946	4.495	0.6604	4.0-4.5	Premium
1947	4.36	0.635	4.0-4.5	Premium
1948	4.355	0.6858	4.0-4.5	Premium
1949	4.08	0.5842	4.0-4.5	Premium
1950	4	0.635	4.0-4.5	Premium
1951	4.14	0.6604	4.0-4.5	Premium
1952	4.45		4.0-4.5	Premium
1953	4.3		4.0-4.5	Premium
1954	4.2		4.0-4.5	Premium
1955	4.3		4.0-4.5	Premium
1956	4.3		4.0-4.5	Premium
1957	4.35		4.0-4.5	Premium
1958	4.25		4.0-4.5	Premium
1959	4.44	0.6604	4.0-4.5	Premium
1960	4.35		4.0-4.5	Premium
1961	4.4		4.0-4.5	Premium
1962	4.15		4.0-4.5	Premium
1963	4.4		4.0-4.5	Premium
1964	4.25		4.0-4.5	Premium
1965	4.4		4.0-4.5	Premium
1966	4.175	0.6604	4.0-4.5	Premium
1967	4.25		4.0-4.5	Premium
1968	4.45		4.0-4.5	Premium
1969	4.4		4.0-4.5	Premium
1970	4.26	0.635	4.0-4.5	Premium
1971	4.15		4.0-4.5	Premium
1972	4.39	0.6604	4.0-4.5	Premium
1973	4.41	0.635	4.0-4.5	Premium
1974	4		4.0-4.5	Premium
1975	4.04	0.635	4.0-4.5	Premium
1976	4.33	0.6604	4.0-4.5	Premium
1977	4.05		4.0-4.5	Premium
1978	4.025	0.6096	4.0-4.5	Premium
1979	4.45		4.0-4.5	Premium
1980	4.225	0.635	4.0-4.5	Premium
1981	4.05		4.0-4.5	Premium
1982	4.45		4.0-4.5	Premium
1983	4.05		4.0-4.5	Premium
1984	4.495	0.6858	4.0-4.5	Premium
1985	4.25		4.0-4.5	Premium
1986	4.3		4.0-4.5	Premium
1987	4.45		4.0-4.5	Premium
1988	4.495	0.635	4.0-4.5	Premium
1989	4.25		4.0-4.5	Premium
1990	4.05		4.0-4.5	Premium
1991	4.475	0.635	4.0-4.5	Premium
1992	4.4		4.0-4.5	Premium
1993	4.2		4.0-4.5	Premium
1994	4.4		4.0-4.5	Premium
1995	4.4		4.0-4.5	Premium
1996	4.16	0.6604	4.0-4.5	Premium
1997	4.2		4.0-4.5	Premium
1998	4.45		4.0-4.5	Premium
1999	4.275	0.635	4.0-4.5	Premium
2000	4.44	0.6604	4.0-4.5	Premium
2001	4.345	0.6096	4.0-4.5	Premium
2002	4.35		4.0-4.5	Premium
2003	4.2		4.0-4.5	Premium
2004	4.03	0.635	4.0-4.5	Premium
2005	4.45		4.0-4.5	Premium
2006	4.3	0.635	4.0-4.5	Premium
2007	4.465	0.6604	4.0-4.5	Premium
2008	4.44	0.6096	4.0-4.5	Premium
2009	4.39	0.6604	4.0-4.5	Premium
2010	4.155	0.6604	4.0-4.5	Premium
2011	4.195	0.6604	4.0-4.5	Premium
2012	4.385	0.6604	4.0-4.5	Premium
2013	4.345	0.635	4.0-4.5	Premium
2014	4.11	0.6858	4.0-4.5	Premium
2015	4.17	0.6604	4.0-4.5	Premium
2016	4.375	0.6604	4.0-4.5	Premium
2017	4.325	0.635	4.0-4.5	Premium
2018	4.16	0.6096	4.0-4.5	Premium
2019	4.31	0.6604	4.0-4.5	Premium
2020	4.33	0.6604	4.0-4.5	Premium
2021	4.29	0.635	4.0-4.5	Premium
2022	4.435	0.6604	4.0-4.5	Premium
2023	4.365	0.635	4.0-4.5	Premium
2024	4.15	0.635	4.0-4.5	Premium
2025	4.22	0.6604	4.0-4.5	Premium
2026	4.06	0.635	4.0-4.5	Premium
2027	4.02	0.635	4.0-4.5	Premium
2028	4.445	0.6604	4.0-4.5	Premium
2029	4.27	0.6604	4.0-4.5	Premium
2030	4.345	0.6604	4.0-4.5	Premium
2031	4.165	0.7112	4.0-4.5	Premium
2032	4.43	0.6604	4.0-4.5	Premium
2033	4.125	0.635	4.0-4.5	Premium
2034	4.01	0.635	4.0-4.5	Premium
2035	4.115	0.6858	4.0-4.5	Premium
2036	4.445	0.6858	4.0-4.5	Premium
2037	4.11	0.6096	4.0-4.5	Premium
2038	4.24	0.635	4.0-4.5	Premium
2039	4.015	0.635	4.0-4.5	Premium
2040	4.335	0.6858	4.0-4.5	Premium
2041	4.445	0.6604	4.0-4.5	Premium
2042	4.48	0.6096	4.0-4.5	Premium
2043	4.36	0.6096	4.0-4.5	Premium
2044	4.355	0.6604	4.0-4.5	Premium
2045	4.125	0.6096	4.0-4.5	Premium
2046	4.4		4.0-4.5	Premium
2047	4.32	0.635	4.0-4.5	Premium
2048	4.37	0.635	4.0-4.5	Premium
2049	4.325	0.6604	4.0-4.5	Premium
2050	4.075	0.6604	4.0-4.5	Premium
2051	4.3		4.0-4.5	Premium
2052	4.45		4.0-4.5	Premium
2053	4.3		4.0-4.5	Premium
2054	4.25		4.0-4.5	Premium
2055	4.29	0.6604	4.0-4.5	Premium
2056	4.05		4.0-4.5	Premium
2057	4.1		4.0-4.5	Premium
2058	4.265	0.6604	4.0-4.5	Premium
2059	4.2		4.0-4.5	Premium
2060	4.315	0.635	4.0-4.5	Premium
2061	4.2		4.0-4.5	Premium
2062	4.45		4.0-4.5	Premium
2063	4.365	0.635	4.0-4.5	Premium
2064	4.45		4.0-4.5	Premium
2065	4.32	0.7112	4.0-4.5	Premium
2066	4.355	0.635	4.0-4.5	Premium
2067	4.2		4.0-4.5	Premium
2068	4.165	0.6858	4.0-4.5	Premium
2069	4.24	0.6858	4.0-4.5	Premium
2070	4.05		4.0-4.5	Premium
2071	4.2		4.0-4.5	Premium
2072	4.46	0.6604	4.0-4.5	Premium
2073	4.405	0.635	4.0-4.5	Premium
2074	4.38	0.635	4.0-4.5	Premium
2075	4.285	0.6604	4.0-4.5	Premium
2076	4.3	0.6604	4.0-4.5	Premium
2077	4.45		4.0-4.5	Premium
2078	4.15		4.0-4.5	Premium
2079	4.085	0.635	4.0-4.5	Premium
2080	4.3	0.6096	4.0-4.5	Premium
2081	4.25		4.0-4.5	Premium
2082	4.3		4.0-4.5	Premium
2083	4.055	0.635	4.0-4.5	Premium
2084	4.4		4.0-4.5	Premium
2085	4.49	0.6604	4.0-4.5	Premium
2086	4.105	0.6096	4.0-4.5	Premium
2087	4.325	0.6096	4.0-4.5	Premium
2088	4.335	0.6858	4.0-4.5	Premium
2089	4.04	0.6604	4.0-4.5	Premium
2090	4.005	0.635	4.0-4.5	Premium
2091	4.37	0.635	4.0-4.5	Premium
2092	4.05		4.0-4.5	Premium
2093	4.365	0.635	4.0-4.5	Premium
2094	4.45		4.0-4.5	Premium
2095	4.105	0.6096	4.0-4.5	Premium
2096	4.12	0.635	4.0-4.5	Premium
2097	4.15		4.0-4.5	Premium
2098	4.485	0.6604	4.0-4.5	Premium
2099	4.245	0.6858	4.0-4.5	Premium
2100	4.315	0.635	4.0-4.5	Premium
2101	4.34	0.635	4.0-4.5	Premium
2102	4.065	0.6858	4.0-4.5	Premium
2103	4.32	0.635	4.0-4.5	Premium
2104	4.405	0.6604	4.0-4.5	Premium
2105	4.36	0.635	4.0-4.5	Premium
2106	4.31	0.635	4.0-4.5	Premium
2107	4.375	0.6604	4.0-4.5	Premium
2108	4.035	0.635	4.0-4.5	Premium
2109	4.04	0.635	4.0-4.5	Premium
2110	4.24	0.6604	4.0-4.5	Premium
2111	4.19	0.635	4.0-4.5	Premium
2112	4.23	0.635	4.0-4.5	Premium
2113	4.385	0.6858	4.0-4.5	Premium
2114	4.04	0.635	4.0-4.5	Premium
2115	4.11	0.635	4.0-4.5	Premium
2116	4.34	0.6604	4.0-4.5	Premium
2117	4.4	0.6604	4.0-4.5	Premium
2118	4.06	0.635	4.0-4.5	Premium
2119	4.05	0.6096	4.0-4.5	Premium
2120	4.5	0.6604	4.0-4.5	Premium
2121	4.11	0.635	4.0-4.5	Premium
2122	4.355	0.635	4.0-4.5	Premium
2123	4.19	0.635	4.0-4.5	Premium
2124	4.295	0.6604	4.0-4.5	Premium
2125	4.125	0.6604	4.0-4.5	Premium
2126	4.33	0.6604	4.0-4.5	Premium
2127	4.41	0.6096	4.0-4.5	Premium
2128	4.295	0.6604	4.0-4.5	Premium
2129	4.39	0.635	4.0-4.5	Premium
2130	4.325	0.6604	4.0-4.5	Premium
2131	4.25	0.635	4.0-4.5	Premium
2132	4.26	0.6604	4.0-4.5	Premium
2133	4.36	0.6604	4.0-4.5	Premium
2134	4.21	0.6604	4.0-4.5	Premium
2135	4.245	0.635	4.0-4.5	Premium
2136	4.235	0.635	4.0-4.5	Premium
2137	4.015	0.6604	4.0-4.5	Premium
2138	4.375	0.6858	4.0-4.5	Premium
2139	4.445	0.6604	4.0-4.5	Premium
2140	4.09	0.6096	4.0-4.5	Premium
2141	4.37	0.6858	4.0-4.5	Premium
2142	4.095	0.635	4.0-4.5	Premium
2143	4.465	0.6604	4.0-4.5	Premium
2144	4.34	0.635	4.0-4.5	Premium
2145	4.42	0.6604	4.0-4.5	Premium
2146	4.335	0.6096	4.0-4.5	Premium
2147	4.11	0.635	4.0-4.5	Premium
2148	4.09	0.6858	4.0-4.5	Premium
2149	4.49	0.635	4.0-4.5	Premium
2150	4.21	0.6604	4.0-4.5	Premium
2151	4.19	0.6604	4.0-4.5	Premium
2152	4.3		4.0-4.5	Premium
2153	4.485	0.6604	4.0-4.5	Premium
2154	4.395	0.5588	4.0-4.5	Premium
2155	4.5		4.0-4.5	Premium
2156	4.36	0.635	4.0-4.5	Premium
2157	4.25		4.0-4.5	Premium
2158	4.3		4.0-4.5	Premium
2159	4.3	0.635	4.0-4.5	Premium
2160	4.415	0.6604	4.0-4.5	Premium
2161	4.45		4.0-4.5	Premium
2162	4.3		4.0-4.5	Premium
2163	4.43	0.6096	4.0-4.5	Premium
2164	4.205	0.5842	4.0-4.5	Premium
2165	4.39	0.6604	4.0-4.5	Premium
2166	4.37	0.6858	4.0-4.5	Premium
2167	4.25		4.0-4.5	Premium
2168	4.41	0.6604	4.0-4.5	Premium
2169	4.05		4.0-4.5	Premium
2170	4.1		4.0-4.5	Premium
2171	4.3		4.0-4.5	Premium
2172	4.44	0.6604	4.0-4.5	Premium
2173	4.4	0.6604	4.0-4.5	Premium
2174	4.475	0.635	4.0-4.5	Premium
2175	4.45		4.0-4.5	Premium
2176	4.19	0.6096	4.0-4.5	Premium
2177	4.14	0.635	4.0-4.5	Premium
2178	4.04	0.635	4.0-4.5	Premium
2179	4.1		4.0-4.5	Premium
2180	4.4		4.0-4.5	Premium
2181	4.445	0.635	4.0-4.5	Premium
2182	4.35	0.6604	4.0-4.5	Premium
2183	4.4		4.0-4.5	Premium
2184	4.445	0.635	4.0-4.5	Premium
2185	4.4		4.0-4.5	Premium
2186	4.15		4.0-4.5	Premium
2187	4.1		4.0-4.5	Premium
2188	4.37	0.6096	4.0-4.5	Premium
2189	4.38	0.635	4.0-4.5	Premium
2190	4.275	0.7112	4.0-4.5	Premium
2191	4.265	0.635	4.0-4.5	Premium
2192	4.37	0.6858	4.0-4.5	Premium
2193	4.4	0.635	4.0-4.5	Premium
2194	4.055	0.6096	4.0-4.5	Premium
2195	4.475	0.6604	4.0-4.5	Premium
2196	4.47	0.6096	4.0-4.5	Premium
2197	4.27	0.6604	4.0-4.5	Premium
2198	4.325	0.635	4.0-4.5	Premium
2199	4.35		4.0-4.5	Premium
2200	4.1		4.0-4.5	Premium
2201	4.34	0.635	4.0-4.5	Premium
2202	4.45		4.0-4.5	Premium
2203	4.295	0.6604	4.0-4.5	Premium
2204	4.35	0.6604	4.0-4.5	Premium
2205	4.2		4.0-4.5	Premium
2206	4.41	0.5588	4.0-4.5	Premium
2207	4.35	0.635	4.0-4.5	Premium
2208	4.375	0.6096	4.0-4.5	Premium
2209	4.05		4.0-4.5	Premium
2210	4.15		4.0-4.5	Premium
2211	4.35		4.0-4.5	Premium
2212	4.5		4.0-4.5	Premium
2213	4.35		4.0-4.5	Premium
2214	4.45	0.6858	4.0-4.5	Premium
2215	4.405	0.6096	4.0-4.5	Premium
2216	4.45		4.0-4.5	Premium
2217	4.45	0.6604	4.0-4.5	Premium
2218	4		4.0-4.5	Premium
2219	4.35		4.0-4.5	Premium
2220	4.09	0.635	4.0-4.5	Premium
2221	4.45		4.0-4.5	Premium
2222	4.2	0.635	4.0-4.5	Premium
2223	4.3		4.0-4.5	Premium
2224	4.36	0.635	4.0-4.5	Premium
2225	4.5		4.0-4.5	Premium
2226	4.2		4.0-4.5	Premium
2227	4.3		4.0-4.5	Premium
2228	4.45		4.0-4.5	Premium
2229	4.1		4.0-4.5	Premium
2230	4.3		4.0-4.5	Premium
2231	4.05		4.0-4.5	Premium
2232	4.2		4.0-4.5	Premium
2233	4.45		4.0-4.5	Premium
2234	4.35		4.0-4.5	Premium
2235	4.05		4.0-4.5	Premium
2236	4.45		4.0-4.5	Premium
2237	4.25		4.0-4.5	Premium
2238	4.21	0.5842	4.0-4.5	Premium
2239	4.15	0.6096	4.0-4.5	Premium
2240	4.4		4.0-4.5	Premium
2241	4.295	0.635	4.0-4.5	Premium
2242	4.2		4.0-4.5	Premium
2243	4.5		4.0-4.5	Premium
2244	4.21	0.635	4.0-4.5	Premium
2245	4.2	0.6096	4.0-4.5	Premium
2246	4.225	0.7112	4.0-4.5	Premium
2247	4.37	0.6604	4.0-4.5	Premium
2248	4.37	0.6858	4.0-4.5	Premium
2249	4.48	0.6604	4.0-4.5	Premium
2250	4.22	0.635	4.0-4.5	Premium
2251	4.375	0.6096	4.0-4.5	Premium
2252	4		4.0-4.5	Premium
2253	4.4		4.0-4.5	Premium
2254	4.195	0.6604	4.0-4.5	Premium
2255	4.495	0.6604	4.0-4.5	Premium
2256	4.2		4.0-4.5	Premium
2257	4.245	0.6604	4.0-4.5	Premium
2258	4.3	0.6604	4.0-4.5	Premium
2259	4.195	0.635	4.0-4.5	Premium
2260	4.4		4.0-4.5	Premium
2261	4.13	0.635	4.0-4.5	Premium
2262	4.37	0.6604	4.0-4.5	Premium
2263	4.28	0.635	4.0-4.5	Premium
